dbn,school,total_enrollment,amount_owed,district_name,district_no,assembly_district,senate_district
,PS 130 THE PARKSIDE,645,1720160.73,District 15,15,044,21
,WINDSOR TERRACE SCHOOL (THE),528,1408131.57,District 15,15,044,21
,PS 230 DORIS L COHEN,1224,3264305.01,District 15,15,044,21
,SECONDARY SCHOOL FOR LAW,383,1021428.77,District 15,15,044,21
,SECONDARY SCHOOL FOR JOURNALISM,273,728068.03,District 15,15,044,21
,PARK SLOPE COLLEGIATE,378,1008094.19,District 15,15,044,21
,MILLENNIUM BROOKLYN HIGH SCHOOL,384,1024095.69,District 15,15,044,21
,JHS 62 DITMAS,1287,3432320.71,District 20,20,044,17
,PS 179 KENSINGTON,921,2456229.50,District 20,20,044,21
,JHS 223 THE MONTAUK,940,2506900.90,District 20,20,044,17
,URBAN ASSEMBLY SCH-CRIMINAL JUSTICE,478,1274785.78,District 20,20,044,17
,PS 134,506,1349459.42,District 22,22,044,17
,PS 139 ALEXINE A FENTY,1003,2674916.60,District 22,22,044,17
,PS 217 COL DAVID MARCUS SCHOOL,1223,3261638.09,District 22,22,044,17
,BROOKLYN COLLEGE ACADEMY,615,1640153.25,District 22,22,044,21
,PS 721 BROOKLYN OCCUP TRNING CTR,483,1288120.36,District 75,75,045,23
,PS 771,418,1114770.83,District 75,75,045,23
,PS 95 THE GRAVESEND,911,2429560.34,District 21,21,045,22
,IS 98 BAY ACADEMY,1364,3637673.23,District 21,21,045,23
,PS 153 HOMECREST,496,1322790.26,District 21,21,045,17
,PS 209 MARGARET MEAD,650,1733495.31,District 21,21,045,23
,PS 215 MORRIS H WEISS,859,2290880.72,District 21,21,045,22
,PS 216 ARTURO TOSCANINI,540,1440134.56,District 21,21,045,23
,PS 225 THE EILEEN E ZAGLIN,876,2336218.29,District 21,21,045,23
,PS 238 ANNE SULLIVAN,507,1352126.34,District 21,21,045,22
,PS 253,765,2040190.63,District 21,21,045,23
,JOHN DEWEY HIGH SCHOOL,1849,4931127.42,District 21,21,045,23
,WILLIAM E GRADY CAREER AND TECH,628,1674823.16,District 21,21,045,23
,PS 195 MANHATTAN BEACH,423,1128105.41,District 22,22,045,22
,JHS 234 ARTHUR W CUNNINGHAM,1867,4979131.90,District 22,22,045,17
,PS 254 DAG HAMMARSKJOLD,650,1733495.31,District 22,22,045,19
,PS 255 BARBARA REING SCHOOL,800,2133532.68,District 22,22,045,17
,LEON M GOLDSTEIN HIGH SCH-SCIENCES,1050,2800261.65,District 22,22,045,22
,PS 370,250,666728.96,District 75,75,046,23
,PS/IS 104 THE FORT HAMILTON SCH,1177,3138959.96,District 20,20,046,22
,PS 127 MCKINLEY PARK,507,1352126.34,District 20,20,046,22
,PS 185 WALTER KASSENBROCK,723,1928180.16,District 20,20,046,22
,JHS 201 THE DYKER HEIGHTS,1434,3824357.34,District 20,20,046,22
,PS 229 DYKER,1112,2965610.43,District 20,20,046,22
,JHS 259 WILLIAM MCKINLEY,1430,3813689.67,District 20,20,046,22
,PS 264 BAY RIDGE ELEMENTARY-ARTS,322,858746.91,District 20,20,046,22
,PS 90 EDNA COHEN SCHOOL,561,1496139.79,District 21,21,046,23
,PS 100 THE CONEY ISLAND SCHOOL,706,1882842.59,District 21,21,046,23
,PS 188 MICHAEL E BERDY,507,1352126.34,District 21,21,046,23
,MARK TWAIN IS 239-GIFTED & TALENTED,1315,3506994.35,District 21,21,046,23
,PS 288 THE SHIRLEY TANYHILL,419,1117437.74,District 21,21,046,23
,IS 303 HERBERT S EISENBERG,568,1514808.21,District 21,21,046,23
,PS 329 SURFSIDE,421,1122771.58,District 21,21,046,23
,RACHEL CARSON HS FOR COASTAL STUDIES,507,1352126.34,District 21,21,046,23
,ABRAHAM LINCOLN HIGH SCHOOL,2281,6083235.07,District 21,21,046,23
,LIBERATION DIPLOMA PLUS,158,421372.71,District 21,21,046,23
,PS 163 BATH BEACH,621,1656154.75,District 20,20,047,22
,PS 200 BENSON SCHOOL,1265,3373648.56,District 20,20,047,23
,ACADEMY OF TALENTED SCHOLARS (THE),342,912085.22,District 20,20,047,17
,BROOKLYN SCHOOL OF INQUIRY,374,997426.53,District 20,20,047,17
,PS 748 BROOKLYN SCH-GLOBAL SCHOLARS,459,1224114.38,District 20,20,047,22
,IS 96 SETH LOW,701,1869508.01,District 21,21,047,17
,PS 97 THE HIGHLAWN,767,2045524.46,District 21,21,047,23
,PS 101 THE VERRAZANO,881,2349552.87,District 21,21,047,22
,PS 128 BENSONHURST,375,1000093.45,District 21,21,047,23
,PS 177 THE MARLBORO,872,2325550.63,District 21,21,047,17
,PS 212 LADY DEBORAH MOODY,610,1626818.67,District 21,21,047,22
,IS 228 DAVID A BOODY,1041,2776259.41,District 21,21,047,22
,IS 281 JOSEPH B CAVALLARO,1177,3138959.96,District 21,21,047,23
,INTERNATIONAL HIGH SCH-LAFAYETTE,325,866747.65,District 21,21,047,22
,HIGH SCHOOL OF SPORTS MANAGEMENT,328,874748.40,District 21,21,047,22
,KINGSBOROUGH EARLY COLLEGE SCHOOL,554,1477471.38,District 21,21,047,22
,LIFE ACAD HS FOR FILM AND MUSIC,263,701398.87,District 21,21,047,22
,EXPEDITIONARY LRN SCH-COMM LEADERS,272,725401.11,District 21,21,047,22
,BROOKLYN STUDIO SECONDARY SCHOOL,897,2392223.52,District 21,21,047,22
,PS 231,344,917419.05,District 75,75,048,17
,PS 48 MAPLETON,583,1554811.94,District 20,20,048,17
,PS 105 THE BLYTHEBOURNE,1772,4725774.90,District 20,20,048,17
,PS 164 CAESAR RODNEY,499,1330791.01,District 20,20,048,17
,SEEALL ACADEMY (THE),1094,2917605.95,District 20,20,048,17
,PS 192 MAGNET SCHOOL-MATH AND SCI,572,1525475.87,District 20,20,048,17
,FRANKLIN D ROOSEVELT HIGH SCHOOL,3085,8227435.41,District 20,20,048,17
,PS 99 ISAAC ASIMOV,791,2109530.44,District 21,21,048,17
,PS 121 NELSON A ROCKEFELLER,337,898750.64,District 21,21,048,17
,PS 199 FREDERICK WACHTEL,448,1194778.30,District 21,21,048,17
,PS 226 ALFRED DE B MASON,921,2456229.50,District 21,21,048,17
,EDWARD R MURROW HIGH SCHOOL,4013,10702333.33,District 21,21,048,17
,PS 69 VINCENT D GRIPPO SCHOOL,865,2306882.21,District 20,20,049,17
,PS 112 LEFFERTS PARK,531,1416132.32,District 20,20,049,22
,PS 160 WILLIAM T SAMPSON,1257,3352313.23,District 20,20,049,17
,PS 176 OVINGTON,1418,3781686.68,District 20,20,049,22
,PS 186 DR IRVING A GLADSTONE,925,2466897.17,District 20,20,049,22
,IS 187 THE CHRISTA MCAULIFFE SCHOOL,970,2586908.38,District 20,20,049,22
,PS 204 VINCE LOMBARDI,1093,2914939.03,District 20,20,049,22
,PS 205 CLARION,1023,2728254.92,District 20,20,049,22
,JHS 220 JOHN J PERSHING,1389,3704346.12,District 20,20,049,17
,JHS 227 EDWARD B SHALLOW,1308,3488325.94,District 20,20,049,22
,PS 247,757,2018855.30,District 20,20,049,22
,NEW UTRECHT HIGH SCHOOL,3294,8784820.83,District 20,20,049,22
,PS 46 EDWARD C BLUM,364,970757.37,District 13,13,050,25
,DR SUSAN S MCKINNEY SEC SCH-ARTS,484,1290787.27,District 13,13,050,25
,FORT GREEN PREPARATORY ACADEMY,250,666728.96,District 13,13,050,25
,BENJAMIN BANNEKER ACADEMY,908,2421559.60,District 13,13,050,25
,PS 16 LEONARD DUNKLY,228,608056.82,District 14,14,050,26
,PS 17 HENRY D WOODWORTH,307,818743.17,District 14,14,050,18
,PS 31 SAMUEL F DUPONT,525,1400130.82,District 14,14,050,26
,PS 34 OLIVER H PERRY,525,1400130.82,District 14,14,050,26
,PS 84 JOSE DE DIEGO,547,1458802.97,District 14,14,050,18
,PS 110 THE MONITOR,319,850746.16,District 14,14,050,26
,JOHN ERICSSON MIDDLE SCHOOL 126,264,704065.79,District 14,14,050,26
,PS 157 BENJAMIN FRANKLIN,525,1400130.82,District 14,14,050,25
,PS 380 JOHN WAYNE ELEMENTARY,587,1565479.61,District 14,14,050,26
,CONSELYEA PREP SCHOOL,497,1325457.18,District 14,14,050,18
,JUAN MOREL CAMPOS SECONDARY SCHOOL,769,2050858.29,District 14,14,050,26
,BROOKLYN PREP HIGH SCHOOL,503,1341458.68,District 14,14,050,18
,WILLAMSBURG HS-ARCH & DESIGN,581,1549478.11,District 14,14,050,18
,WILLIAMSBURG PREP SCHOOL,671,1789500.54,District 14,14,050,18
,AUTOMOTIVE HIGH SCHOOL,437,1165442.23,District 14,14,050,26
,FRANCES PERKINS ACADEMY,150,400037.38,District 14,14,050,26
,EL PUENTE ACAD FOR PEACE AND JUSTICE,223,594722.24,District 14,14,050,26
,PS 371 LILLIAN L RASHKIS,281,749403.36,District 75,75,051,25
,PS 1 THE BERGEN,1155,3080287.81,District 15,15,051,25
,"MAGNET SCH OF MATH, SCI, DESIGN",917,2445561.84,District 15,15,051,21
,PS 15 PATRICK F DALY,322,858746.91,District 15,15,051,25
,PS 24,674,1797501.29,District 15,15,051,20
,JHS 88 PETER ROUGET,1209,3224301.27,District 15,15,051,21
,PS 94 THE HENRY LONGFELLOW,1514,4037710.61,District 15,15,051,20
,PS 124 SILAS B DUTCHER,282,752070.27,District 15,15,051,20
,PS 131,1014,2704252.68,District 15,15,051,17
,IS 136 CHARLES O DEWEY,491,1309455.69,District 15,15,051,25
,PS 169 SUNSET PARK,1639,4371075.09,District 15,15,051,17
,PS 172 BEACON SCHOOL OF EXCELLENCE,558,1488139.05,District 15,15,051,25
,PS 295,464,1237448.96,District 15,15,051,21
,NEW VOICES SCH-ACAD & CREATIVE ARTS,533,1421466.15,District 15,15,051,21
,RED HOOK NEIGHBORHOOD SCHOOL,183,488045.60,District 15,15,051,25
,SUNSET PARK PREP,530,1413465.40,District 15,15,051,25
,WEST BROOKLYN COMMUNITY HIGH SCHOOL,211,562719.25,District 15,15,051,17
,SUNSET PARK HIGH SCHOOL,1307,3485659.02,District 15,15,051,25
,SOUTH BROOKLYN COMM HIGH SCHOOL,140,373368.22,District 15,15,051,25
,SCHOOL FOR FUTURE LEADERS (THE),371,989425.78,District 20,20,051,20
,PS 503 THE SCHOOL OF DISCOVERY,1028,2741589.50,District 20,20,051,20
,PS 506 JOURNALISM AND TECHNOLOGY,768,2048191.38,District 20,20,051,20
,"PS 971 SCHOOL OF MATH, SCIENCE, HEALTHY",270,720067.28,District 20,20,051,20
,HIGH SCHOOL OF TELECOMMUNICATIONS,1309,3490992.85,District 20,20,051,22
,PS 77,285,760071.02,District 75,75,052,25
,PS 369 COY L COX SCHOOL,639,1704159.23,District 75,75,052,25
,PS 372 CHILDREN'S SCHOOL (THE),480,1280119.61,District 75,75,052,25
,PS 8 ROBERT FULTON,812,2165535.67,District 13,13,052,26
,PS 133 WILLIAM A BUTLER,393,1048097.93,District 13,13,052,20
,MS 266 PARK PLACE COMMUNITY MS,143,381368.97,District 13,13,052,25
,PS 282 PARK SLOPE,928,2474897.91,District 13,13,052,25
,PS 307 DANIEL HALE WILLIAMS,330,880082.23,District 13,13,052,26
,SATELLITE WEST MIDDLE SCHOOL,119,317362.99,District 13,13,052,26
,URBAN ASSEMBLY SCH-MUSIC & ART,398,1061432.51,District 13,13,052,25
,SCIENCE SKILLS CENTER HIGH SCHOOL,529,1410798.49,District 13,13,052,25
,BROOKLYN INTNTL HIGH SCHOOL,342,912085.22,District 13,13,052,25
,URBAN ASSMBLY SCH-LAW & JSTCE,447,1192111.39,District 13,13,052,25
,URBAN ASSEMBLY INST OF MATH AND SCIE,510,1360127.09,District 13,13,052,25
,GEORGE WESTINGHOUSE CAREER/TECH HS,697,1858840.35,District 13,13,052,25
,CITY POLYTECHNIC HIGH SCHOOL,452,1205445.97,District 13,13,052,25
,PS 29 JOHN M HARRIGAN,749,1997519.98,District 15,15,052,26
,PS 32 SAMUELS MILLS SPROLE,393,1048097.93,District 15,15,052,25
,PS 38 THE PACIFIC,434,1157441.48,District 15,15,052,25
,PS 39 HENRY BRISTOW,348,928086.72,District 15,15,052,21
,MS 51 WILLIAM ALEXANDER,1116,2976278.09,District 15,15,052,20
,PS 58 THE CARROLL,893,2381555.86,District 15,15,052,26
,PS 146,629,1677490.07,District 15,15,052,26
,PS 261 PHILIP LIVINGSTON,770,2053525.21,District 15,15,052,25
,PS 321 WILLIAM PENN,1484,3957703.13,District 15,15,052,20
,CARROLL GARDENS SCHOOL-INNOVATION,191,509380.93,District 15,15,052,25
,MATH & SCIENCE EXPLORATORY SCH (THE),513,1368127.83,District 15,15,052,25
,BROOKLYN SEC SCH-COLLABORATIVE,667,1778832.88,District 15,15,052,26
,BROOKLYN FRONTIERS HIGH SCHOOL,173,461376.44,District 15,15,052,25
,BROOKLYN SCHOOL FOR GLOBAL STUDIES,274,730734.94,District 15,15,052,26
,SCHOOL FOR INTNTL STUDIES,479,1277452.69,District 15,15,052,26
,COBBLE HILL SCHOOL OF AMERICAN STUD,560,1493472.88,District 15,15,052,25
,METROPOLITAN CORPORATE ACAD HS,30,80007.48,District 15,15,052,25
,BROOKLYN HIGH SCHOOL OF THE ARTS,818,2181537.17,District 15,15,052,25
,IS 340,206,549384.67,District 17,17,052,20
,PS 373 BROOKLYN TRANSITION CENTER,352,938754.38,District 75,75,053,18
,PS 18 EDWARD BUSH,177,472044.11,District 14,14,053,18
,PS 19 ROBERTO CLEMENTE,112,298694.58,District 14,14,053,18
,JHS 50 JOHN D WELLS,304,810742.42,District 14,14,053,18
,PS 120 CARLOS TAPIA,393,1048097.93,District 14,14,053,18
,PS 132 THE CONSELYEA SCHOOL,701,1869508.01,District 14,14,053,18
,PS 147 ISSAC REMSEN,263,701398.87,District 14,14,053,18
,PS 196 TEN EYCK,319,850746.16,District 14,14,053,18
,PS 250 GEORGE H LINDSEY,731,1949515.49,District 14,14,053,18
,PS 257 JOHN F HYLAN,607,1618817.92,District 14,14,053,18
,IS 318 EUGENO MARIA DE HOSTOS,1633,4355073.59,District 14,14,053,26
,PS 319,116,309362.24,District 14,14,053,18
,MS 582,268,714733.45,District 14,14,053,18
,BROOKLYN LATIN SCHOOL (THE),593,1581481.10,District 14,14,053,18
,GREEN SCHOOL-ENVIRONMENTAL CAREERS,326,869414.57,District 14,14,053,18
,PROGRESS HS-PROFESSIONAL CAREERS,1082,2885602.96,District 14,14,053,18
,SCHOOL FOR LEGAL STUDIES,655,1746829.89,District 14,14,053,18
,"HIGH SCHOOL-ENTERPRISE, BUS & TECH",1026,2736255.67,District 14,14,053,18
,LYONS COMMUNITY SCHOOL,560,1493472.88,District 14,14,053,18
,YOUNG WOMENS LEADERSHIP SCH-BROOKLY,351,936087.47,District 14,14,053,18
,PS 86 THE IRVINGTON,455,1213446.71,District 32,32,053,18
,PS 116 ELIZABETH L FARRELL,515,1373461.67,District 32,32,053,18
,PS 123 SUYDAM,830,2213540.16,District 32,32,053,18
,PS 145 ANDREW JACKSON,760,2026856.05,District 32,32,053,18
,JHS 162 THE WILLOUGHBY,485,1293454.19,District 32,32,053,18
,JHS 291 ROLAND HAYES,518,1381462.41,District 32,32,053,18
,IS 347 SCHOOL OF HUMANITIES,401,1069433.26,District 32,32,053,18
,"IS 349 MATH, SCIENCE & TECHNOLOGY",399,1064099.43,District 32,32,053,18
,PS 376,647,1725494.56,District 32,32,053,18
,PS 377 ALEJANDINA B DE GAUTIER,497,1325457.18,District 32,32,053,18
,JHS 383 PHILIPPA SCHUYLER,916,2442894.92,District 32,32,053,18
,BUSHWICK COMM HIGH SCHOOL,178,474711.02,District 32,32,053,18
,ALL CITY LEADERSHIP SECONDARY SCH,333,888082.98,District 32,32,053,18
,PS 81 JEAN PAUL RICHTER,1029,2744256.42,District 24,24,053,18
,BRIGHTER CHOICE COMMUNITY SCHOOL,134,357366.72,District 16,16,054,18
,YOUNG SCHOLARS ACAD-DISCOVER & EXPLO,174,464043.36,District 16,16,054,18
,PS 7 ABRAHAM LINCOLN,1003,2674916.60,District 19,19,054,18
,PS 65,639,1704159.23,District 19,19,054,18
,PS 108 SAL ABBRACCIAMENTO,854,2277546.14,District 19,19,054,18
,PS 158 WARWICK,521,1389463.16,District 19,19,054,18
,PS 159 ISAAC PITKIN,846,2256210.81,District 19,19,054,19
,IS 171 ABRAHAM LINCOLN,779,2077527.45,District 19,19,054,18
,JHS 302 RAFAEL CORDERO,551,1469470.64,District 19,19,054,18
,PS 345 PATROLMAN ROBERT BOLDEN,650,1733495.31,District 19,19,054,18
,SPRING CREEK COMMUNITY SCHOOL,174,464043.36,District 19,19,054,18
,MULTICULTURAL HIGH SCHOOL,321,856079.99,District 19,19,054,18
,TRANSIT TECH CAREER AND TECH EDU,1150,3066953.23,District 19,19,054,18
,ACADEMY OF INNOVATIVE TECHNOLOGY,428,1141439.99,District 19,19,054,18
,BROOKLYN LAB SCHOOL,372,992092.70,District 19,19,054,18
,CYPRESS HILLS COLLEGIATE PREP SCHOOL,370,986758.87,District 19,19,054,18
,PS/IS 45 HORACE E GREENE,821,2189537.92,District 32,32,054,18
,PS 75 MAYDA CORTIELLA,515,1373461.67,District 32,32,054,18
,PS 106 EDWARD EVERETT HALE,562,1498806.71,District 32,32,054,18
,PS 151 LYNDON B JOHNSON,361,962756.62,District 32,32,054,18
,PS 274 KOSCIUSKO,532,1418799.24,District 32,32,054,18
,IS 296 THE A GONZALEZ COMMUNITY,104,277359.25,District 32,32,054,18
,PS 299 THOMAS WARREN FIELD,345,920085.97,District 32,32,054,18
,PS/IS 384 FRANCES E CARTER,692,1845505.77,District 32,32,054,18
,BROOKLYN SCHOOL FOR MATH AND RESEARC,204,544050.83,District 32,32,054,18
,ACADEMY FOR ENVIRONMENTAL LDSHIP,355,946755.13,District 32,32,054,18
,EBC HIGH SCHOOL-PUBLIC SERVICE,516,1376128.58,District 32,32,054,18
,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,414,1104103.16,District 32,32,054,18
,ACADEMY OF URBAN PLANNING,311,829410.83,District 32,32,054,18
,BUSHWICK LEADERS HS-ACAD EXCELL,363,968090.46,District 32,32,054,18
,PS 396,260,693398.12,District 75,75,055,20
,PS 5 DR RONALD MCNAIR,292,778739.43,District 16,16,055,25
,PS 28 THE WARREN PREP ACADEMY,226,602722.98,District 16,16,055,25
,PS 40 GEORGE W CARVER,299,797407.84,District 16,16,055,25
,BROOKLYN HIGH SCHOOL-LAW AND TECH,523,1394796.99,District 16,16,055,25
,GOTHAM PROFESSIONAL ARTS ACADEMY,235,626725.23,District 16,16,055,25
,DR JACQUELINE PEEK-DAVIS SCHOOL,173,461376.44,District 17,17,055,25
,PS 189 LINCOLN TERRACE,1184,3157628.37,District 17,17,055,20
,PS 191 PAUL ROBESON,209,557385.41,District 17,17,055,25
,MS 394,559,1490805.96,District 17,17,055,25
,PS 398 WALTER WEAVER,327,872081.48,District 17,17,055,20
,RONALD EDMONDS LEARNING CTR II,146,389369.71,District 17,17,055,25
,PS 770 NEW AMERICAN ACADEMY,215,573386.91,District 17,17,055,20
,BROWNSVILLE  ACADEMY HIGH SCHOOL,181,482711.77,District 17,17,055,20
,PS 89 CYPRESS HILLS,429,1144106.90,District 19,19,055,18
,PS 290 JUAN MOREL CAMPOS,549,1464136.80,District 19,19,055,18
,JHS 292 MARGARET S DOUGLAS,720,1920179.42,District 19,19,055,19
,W H MAXWELL CAREER AND TECH HS,468,1248116.62,District 19,19,055,18
,PS 73 THOMAS S BOYLAND,193,514714.76,District 23,23,055,25
,PS/IS 137 RACHAEL JEAN MITCHELL,284,757404.10,District 23,23,055,25
,PS 150 CHRISTOPHER,214,570719.99,District 23,23,055,20
,PS/IS 155 NICHOLAS HERKIMER,472,1258784.28,District 23,23,055,25
,PS 156 WAVERLY,746,1989519.23,District 23,23,055,20
,PS 178 SAINT CLAIR MCKELWAY,427,1138773.07,District 23,23,055,25
,PS 284 LEW WALLACE,565,1506807.46,District 23,23,055,20
,PS 298 DR BETTY SHABAZZ,253,674729.71,District 23,23,055,20
,PS/IS 323,418,1114770.83,District 23,23,055,20
,PS 327 DR ROSE B ENGLISH,598,1594815.68,District 23,23,055,20
,PS 332 CHARLES H HOUSTON,23,61339.06,District 23,23,055,19
,IS 392,265,706732.70,District 23,23,055,20
,CHRISTOPHER AVENUE COMMUNITY SCHOOL,211,562719.25,District 23,23,055,19
,FREDERICK DOUGLASS ACADEMY VII,313,834744.66,District 23,23,055,20
,MOTT HALL IV,194,517381.68,District 23,23,055,25
,GENERAL D CHAPPIE JAMES ELEM SCHOOL,96,256023.92,District 23,23,055,19
,GENERAL D CHAPPIE JAMES MIDDLE SCH,86,229354.76,District 23,23,055,19
,MOTT HALL BRIDGES ACADEMY,211,562719.25,District 23,23,055,20
,BROOKLYN COLLEGIATE,387,1032096.44,District 23,23,055,25
,EAGLE ACADEMY FOR YOUNG MEN II,512,1365460.92,District 23,23,055,25
,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,233,621391.39,District 23,23,055,18
,TEACHERS PREP HIGH SCHOOL,452,1205445.97,District 23,23,055,20
,PS 368,268,714733.45,District 75,75,056,18
,PS 44 MARCUS GARVEY,273,728068.03,District 13,13,056,25
,PS 93 WILLIAM H PRESCOTT,310,826743.92,District 13,13,056,25
,PS 256 BENJAMIN BANNEKER,340,906751.39,District 13,13,056,25
,SATELLITE EAST MIDDLE SCHOOL,160,426706.54,District 13,13,056,25
,PS 305 DR PETER RAY,195,520048.59,District 13,13,056,25
,BROOKLYN ACADEMY HIGH SCHOOL,149,397370.46,District 13,13,056,25
,BEDFORD STUYVESANT PREP HIGH SCHOOL,103,274692.33,District 13,13,056,25
,PS 23 CARTER G WOODSON,235,626725.23,District 14,14,056,25
,PS 59 WILLIAM FLOYD,337,898750.64,District 14,14,056,18
,PS 297 ABRAHAM STOCKTON,250,666728.96,District 14,14,056,18
,FOUNDATIONS ACADEMY,111,296027.66,District 14,14,056,18
,URBAN ASSEMBLY SCHOOL-URBAN ENVR,82,218687.10,District 14,14,056,18
,PS 21 CRISPUS ATTUCKS,589,1570813.44,District 16,16,056,25
,PS 25 EUBIE BLAKE SCHOOL,214,570719.99,District 16,16,056,25
,PS 26 JESSE OWENS,238,634725.97,District 16,16,056,25
,MS 35 STEPHEN DECATUR,209,557385.41,District 16,16,056,25
,JHS 57 WHITELAW REID,211,562719.25,District 16,16,056,25
,PS 81 THADDEUS STEVENS,337,898750.64,District 16,16,056,25
,PS 243 THE WEEKSVILLE SCHOOL,251,669395.88,District 16,16,056,25
,PS 262 EL HAJJ MALIK EL SHABAZZ,482,1285453.44,District 16,16,056,25
,"MS 267 MATH, SCIENCE & TECH",289,770738.68,District 16,16,056,25
,PS 308 CLARA CARDWELL,445,1186777.56,District 16,16,056,25
,PS 309 GEORGE E WIBECAN PREP,261,696065.04,District 16,16,056,25
,PS 335 GRANVILLE T WOODS,365,973424.29,District 16,16,056,25
,SCHOOL-BUSINESS FINANCE & ENTREPRENE,113,301361.49,District 16,16,056,25
,FREDERICK DOUGLASS ACADEMY IV,161,429373.45,District 16,16,056,25
,UPPER SCHOOL AT PS 25,153,408038.13,District 16,16,056,25
,MS 584,131,349365.98,District 16,16,056,25
,BROOKLYN BROWNSTONE SCHOOL,198,528049.34,District 16,16,056,25
,BOYS AND GIRLS HIGH SCHOOL,895,2386889.69,District 16,16,056,25
,THE BROOKYLN ACAD OF GLOBAL FINANCE,151,402704.29,District 16,16,056,25
,PS 167 THE PARKWAY,169,450708.78,District 17,17,056,20
,MIDDLE SCH-ACADEMIC & SOCIAL EXC,170,453375.70,District 17,17,056,25
,SCHOOL OF INTEGRATED LRNING (THE),239,637392.89,District 17,17,056,25
,PATHWAYS TECH EARLY COLLEGE HIGH SCH,333,888082.98,District 17,17,056,25
,PAUL ROBESON HIGH SCHOOL,38,101342.80,District 17,17,056,25
,ACADEMY FOR HEALTH CAREERS,318,848079.24,District 17,17,056,25
,PS 753 SCHOOL FOR CAREER DVLPMNT,234,624058.31,District 75,75,057,25
,PS 3 THE BEDFORD VILLAGE,460,1226781.29,District 13,13,057,25
,PS 9 TEUNIS G BERGEN,663,1768165.21,District 13,13,057,25
,PS 11 PURVIS J BEHAN,669,1784166.71,District 13,13,057,25
,PS 20 CLINTON HILL,301,802741.67,District 13,13,057,25
,PS 54 SAMUEL C BARNES,221,589388.40,District 13,13,057,25
,PS 56 LEWIS H LATIMER,217,578720.74,District 13,13,057,25
,PS 67 CHARLES A DORSEY,273,728068.03,District 13,13,057,25
,SATELLITE THREE,59,157348.04,District 13,13,057,25
,MS 113 RONALD EDMONDS LEARNING CTR,723,1928180.16,District 13,13,057,25
,PS 270 JOHANN DEKALB,146,389369.71,District 13,13,057,25
,PS 287 BAILEY K ASHFORD,198,528049.34,District 13,13,057,25
,MS 596 PEACE ACADEMY,85,226687.85,District 13,13,057,25
,"BROOKLYN COMM HS-COMM, ARTS, MEDIA",404,1077434.01,District 13,13,057,25
,BROOKLYN TECH HIGH SCHOOL,5452,14540025.24,District 13,13,057,25
,"URBAN ASSEMBLY ACAD OF ARTS, LETTERS",488,1301454.94,District 13,13,057,25
,ACORN COMMUNITY HIGH SCHOOL,629,1677490.07,District 13,13,057,25
,BEDFORD ACADEMY HIGH SCHOOL,362,965423.54,District 13,13,057,25
,BROOKLYN HS-LEADERSHIP & COMMUNITY,211,562719.25,District 13,13,057,25
,KHALIL GIBRAN INTERNATIONAL ACADEMY,93,248023.17,District 15,15,057,25
,PS 22,22,58672.15,District 17,17,057,20
,PS 241 EMMA L JOHNSTON,603,1608150.26,District 17,17,057,21
,PS 316 ELIJAH STROUD,273,728068.03,District 17,17,057,20
,EBBETS FIELD MIDDLE SCHOOL,295,786740.18,District 17,17,057,20
,ELIJAH STROUD MIDDLE SCHOOL,268,714733.45,District 17,17,057,20
,PS 375 JACKIE ROBINSON SCHOOL,474,1264118.12,District 17,17,057,20
,W E B DUBOIS ACADEMIC HIGH SCHOOL,124,330697.57,District 17,17,057,20
,INTERNTL HS AT PROSPECT HGHTS,391,1042764.10,District 17,17,057,21
,HIGH SCH FOR GLOBAL CITIZENSHIP(THE),254,677396.63,District 17,17,057,21
,BROOKLYN ACADEMY OF SCI & ENVIRON,466,1242782.79,District 17,17,057,21
,BROOKLYN SCHOOL FOR MUSIC & THEATER,401,1069433.26,District 17,17,057,21
,CLARA BARTON HIGH SCHOOL,1522,4059045.93,District 17,17,057,21
,PS 140,272,725401.11,District 75,75,058,19
,PS 66,746,1989519.23,District 18,18,058,21
,PS 135 SHELDON A BROOKNER,646,1722827.64,District 18,18,058,20
,PS 208 ELSA EBELING,463,1234782.04,District 18,18,058,21
,IS 211 JOHN WILSON,706,1882842.59,District 18,18,058,19
,PS 219 KENNEDY-KING,545,1453469.14,District 18,18,058,20
,PS 233 LANGSTON HUGHES,509,1357460.17,District 18,18,058,21
,PS 244 RICHARD R GREEN,664,1770832.13,District 18,18,058,21
,PS 268 EMMA LAZARUS,422,1125438.49,District 18,18,058,20
,PS 279 HERMAN SCHREIBER,482,1285453.44,District 18,18,058,19
,IS 285 MEYER LEVIN,914,2437561.09,District 18,18,058,21
,SCIENCE & MEDICINE MIDDLE SCHOOL,389,1037430.27,District 18,18,058,19
,EAST FLATBUSH COMM RESEARCH SCHOOL,245,653394.38,District 18,18,058,20
,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,323,861413.82,District 18,18,058,20
,MS OF MARKETING AND LEGAL STUDIES,312,832077.75,District 18,18,058,20
,IT TAKES A VILLAGE ACADEMY,498,1328124.10,District 18,18,058,21
,KURT HAHN EXPEDITIONARY LRNING SCH,290,773405.60,District 18,18,058,21
,ARTS & MEDIA PREP ACADEMY,291,776072.51,District 18,18,058,20
,CULTURAL ACADEMY-ARTS AND SCIENCES,299,797407.84,District 18,18,058,21
