dbn,school,total_enrollment,amount_owed
10X268,Kingsbridge International High School,443,1072830.82
10X442,"Celia Cruz Bronx High School of Music, The",436,1055878.64
10X284,Bronx School of Law and Finance,435,1053456.9
10X546,Bronx Theatre High School,435,1053456.9
10X660,Grace Dodge Career and Technical Education High School,435,1053456.9
10X254,I.S. 254,434,1051035.16
10X213,Bronx Engineering and Technology Academy,420,1017130.8
10X434,Belmont Preparatory High School,410,992913.4
10X437,Fordham High School for the Arts,407,985648.18
10X307,Luisa Pineiro Fuentes School of Science and Discovery,404,978382.96
10X390,M.S. 390,403,975961.22
10X439,Bronx High School for Law and Community Service,403,975961.22
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,399,966274.26
10X207,P.S. 207,390,944478.6
10X696,High School of American Studies at Lehman College,387,937213.38
10X331,The Bronx School of Young Leaders,386,934791.64
10X396,P.S. 396,386,934791.64
10X003,P.S. 3 Raul Julia Micro Society,358,866982.92
10X459,East Fordham Academy for the Arts,356,862139.44
10X397,English Language Learners and International Support Preparatory Academy (ELLIS),335,811282.9
10X344,Ampark Neighborhood,332,804017.68
10X206,I.S. 206 Ann Mersereau,307,743474.18
10X382,"Elementary School for Math, Science, and Technology",297,719256.78
10X315,P.S. 315 Lab School,266,644182.84
10X228,Jonas Bronck Academy,258,624808.92
10X524,Crotona International High School,252,610278.48
10X209,P.S. 209,251,607856.74
10X051,P.S. 051 Bronx New School,242,586061.08
10X308,Bronx Dance Academy School,237,573952.38
10X319,Providing Urban Learners Success In Education High School,227,549734.98
10X565,High School for Energy and Technology,211,510987.14
10X159,P.S. 159 Luis Munoz Marin Biling,186,450443.64
10X475,John F. Kennedy High School,153,370526.22
10X264,Bronx Academy for Software Engineering (BASE),112,271234.88
10X351,Bronx Collaborative High School,90,217956.6
10X353,World View High School,71,171943.54
11X455,Harry S Truman High School,1911,4627945.14
11X083,P.S. 083 Donald Hertz,1685,4080631.9
11X105,P.S. 105 Sen Abraham Bernstein,1438,3482462.12
11X089,P.S. 089 Bronx,1416,3429183.84
11X194,PS/MS 194,1396,3380749.04
11X106,P.S. 106 Parkchester,1231,2981161.94
11X103,P.S. 103 Hector Fontanez,1106,2678444.44
11X076,P.S. 076 The Bennington School,1046,2533140.04
11X121,P.S. 121 Throop,1014,2455644.36
11X096,P.S. 096 Richard Rodgers,987,2390257.38
11X041,P.S. 041 Gun Hill Road,876,2121444.24
11X181,I.S. 181 Pablo Casals,873,2114179.02
11X180,M.S. 180 Dr. Daniel Hale Williams,864,2092383.36
11X078,P.S. 078 Anne Hutchinson,802,1942235.48
11X068,P.S. 068 Bronx,774,1874426.76
11X097,P.S. 097 Bronx,748,1811461.52
11X127,J.H.S. 127 The Castle Hill,745,1804196.3
11X111,P.S. 111 Seton Falls,734,1777557.16
11X144,J.H.S. 144 Michelangelo,713,1726700.62
11X021,P.S. 021 Philip H. Sheridan,696,1685531.04
11X153,P.S. 153 Helen Keller,669,1620144.06
11X288,Collegiate Institute for Math and Science,656,1588661.44
11X087,P.S. 087 Bronx,636,1540226.64
11X108,P.S. 108 Philip J. Abinanti,592,1433670.08
11X016,P.S. 016 Wakefield,561,1358596.14
11X275,High School of Computers and Technology,556,1346487.44
11X544,High School for Contemporary Arts,518,1254461.32
11X498,PS/MS 11X498 - VAN NEST ACADEMY,512,1239930.88
11X418,Bronx High School for the Visual Arts,509,1232665.66
11X019,P.S. 019 Judith K. Weiss,501,1213291.74
11X542,Pelham Preparatory Academy,480,1162435.2
11X265,Bronx Lab School,476,1152748.24
11X178,P.S. 178 - Dr. Selman Waksman,474,1147904.76
11X299,Astor Collegiate Academy,474,1147904.76
11X290,Bronx Academy of Health Careers,461,1116422.14
11X112,P.S. 112 Bronxwood,451,1092204.74
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,437,1058300.38
11X169,BAYCHESTER ACADEMY,428,1036504.72
11X514,The Bronxwood Preparatory Academy,414,1002600.36
11X253,Bronx High School for Writing and Communication Arts,413,1000178.62
11X326,Bronx Green Middle School,404,978382.96
11X545,Bronx Aerospace High School,404,978382.96
11X513,New World High School,401,971117.74
11X160,P.S. 160 Walt Disney,383,927526.42
11X189,Cornerstone Academy for Social Action,371,898465.54
11X249,Bronx Health Sciences High School,345,835500.3
11X529,One World Middle School at Edenwald,341,825813.34
11X508,Bronxdale High School,332,804017.68
11X289,The Young Scholars Academy of The Bronx,327,791908.98
11X175,P.S. 175 City Island,325,787065.5
11X468,Pelham Academy of Academics and Community Engagement,320,774956.8
11X566,Pelham Gardens Middle School,301,728943.74
11X272,Globe School for Environmental Research,293,709569.82
11X370,School of Diplomacy,285,690195.9
11X532,Baychester Middle School,280,678087.2
11X556,Bronx Park Middle School,259,627230.66
11X509,High School of Language and Innovation,255,617543.7
11X287,The Forward School,250,605435
11X462,Cornerstone Academy for Social Action Middle School (CASA),247,598169.78
11X142,MS 142 John Philip Sousa,192,464974.08
11X415,Christopher Columbus High School,175,423804.5
11X355,Bronx Alliance Middle School,101,244595.74
11X567,Linden Tree Elementary School,98,237330.52
11X322,Aspire Preparatory Middle School,96,232487.04
11X357,Young Voices Academy of the Bronx,91,220378.34
11X541,Global Enterprise High School,37,89604.38
12X047,P.S. 047 John Randolph,1130,2736566.2
12X214,P.S. 214,1028,2489548.72
12X196,P.S. 196,934,2261905.16
12X195,P.S. 195,929,2249796.46
12X150,P.S. 150 Charles James Fox,925,2240109.5
12X134,P.S. 134 George F. Bristow,727,1760604.98
12X067,P.S. 067 Mohegan School,703,1702483.22
12X066,P.S. 066 School of Higher Expectations,665,1610457.1
12X242,Mott Hall V,651,1576552.74
12X211,P.S. 211,637,1542648.38
12X006,P.S. 006 West Farms,616,1491791.84
12X271,East Bronx Academy for the Future,609,1474839.66
12X300,The School of Science and Applied Learning,602,1457887.48
12X057,P.S. 057 Crescent,558,1351330.92
12X372,Urban Assembly School for Wildlife Conservation,552,1336800.48
12X684,Wings Academy,534,1293209.16
12X267,Bronx Latin,523,1266570.02
12X129,M.S. 129 Academy for Independent Learning and Leadership,515,1247196.1
12X092,P.S. 092 Bronx,506,1225400.44
12X212,P.S. 212,497,1203604.78
12X682,Fannie Lou Hamer Freedom High School,493,1193917.82
12X692,Monroe Academy for Visual Arts & Design,460,1114000.4
12X531,Archer Elementary School,427,1034082.98
12X388,Pan American International High School at Monroe,401,971117.74
12X550,High School of World Cultures,388,939635.12
12X691,Bronx Little School,372,900887.28
12X251,Explorations Academy,357,864561.18
12X061,P.S. 061 Francisco Oller,355,859717.7
12X217,School of Performing Arts,351,850030.74
12X536,PS 536,351,850030.74
12X044,P.S. 044 David C. Farragut,341,825813.34
12X316,Kappa III,338,818548.12
12X318,"I.S. X318 Math, Science & Technology Through Arts",334,808861.16
12X479,Bronx Career and College Preparatory High School,323,782222.02
12X478,THE CINEMA SCHOOL,318,770113.32
12X521,The Metropolitan Soundview High School,316,765269.84
12X098,J.H.S. 098 Herman Ridder,315,762848.1
12X463,Urban Scholars Community School,314,760426.36
12X248,"Metropolitan High School, The",313,758004.62
12X384,Entrada Academy,312,755582.88
12X273,Frederick Douglass Academy V. Middle School,258,624808.92
12X480,Bronx Regional High School,255,617543.7
12X190,E.S.M.T- I.S. 190,253,612700.22
12X286,Fannie Lou Hamer Middle School,251,607856.74
12X383,Emolior Academy,249,603013.26
12X511,Bronx Envision Academy,239,578795.86
12X446,Arturo A. Schomburg Satellite Academy Bronx,226,547313.24
12X314,Fairmont Neighborhood School,221,535204.54
12X278,Peace and Diversity Academy,189,457708.86
12X050,P.S. 050 Clara Barton,187,452865.38
12X341,Accion Academy,176,426226.24
12X102,P.S. 102 Joseph O. Loretan,119,288187.06
12X690,Monroe Academy for Business/Law,56,135617.44
12X262,Performance Conservatory High School,23,55700.02
Total amount owed to District 12 ,,,57448516.28
,,,
13K430,Brooklyn Technical High School,5458,13217856.92
13K282,P.S. 282 Park Slope,1004,2431426.96
13K670,Benjamin Banneker Academy,907,2196518.18
13K008,P.S. 008 Robert Fulton,848,2053635.52
13K011,P.S. 011 Purvis J. Behan,733,1775135.42
13K009,P.S. 009 Teunis G. Bergen,722,1748496.28
13K113,M.S. 113 Ronald Edmonds Learning Center,718,1738809.32
13K605,George Westinghouse Career and Technical Education High School,702,1700061.48
13K499,ACORN Community High School,623,1508744.02
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",537,1300474.38
13K003,P.S. 003 The Bedford Village,513,1242352.62
13K527,Urban Assembly Institute of Math and Science for Young Women,508,1230243.92
13K265,Dr. Susan S. McKinney Secondary School of the Arts,503,1218135.22
13K492,Academy of Arts and Letters,490,1186652.6
13K133,P.S. 133 William A. Butler,465,1126109.1
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",451,1092204.74
13K483,The Urban Assembly School for Law and Justice,449,1087361.26
13K046,P.S. 046 Edward C. Blum,417,1009865.58
13K412,"Brooklyn Community High School of Communication, Arts and Media",401,971117.74
13K350,Urban Assembly High School of Music and Art,394,954165.56
13K307,P.S. 307 Daniel Hale Williams,370,896043.8
13K595,Bedford Academy High School,361,874248.14
13K256,P.S. 256 Benjamin Banneker,355,859717.7
13K439,Brooklyn International High School,343,830656.82
13K093,P.S. 093 William H. Prescott,338,818548.12
13K020,P.S. 020 Clinton Hill,321,777378.54
13K044,P.S. 044 Marcus Garvey,287,695039.38
13K067,P.S. 067 Charles A. Dorsey,276,668400.24
13K691,Fort Greene Preparatory Academy,257,622387.18
13K054,P.S. 054 Samuel C. Barnes,251,607856.74
13K056,P.S. 056 Lewis H. Latimer,236,571530.64
13K616,Brooklyn High School for Leadership and Community Service,233,564265.42
13K305,P.S. 305 Dr. Peter Ray,219,530361.06
13K287,P.S. 287 Bailey K. Ashford,215,520674.1
13K301,Satellite East Middle School,164,397165.36
13K553,Brooklyn Academy High School,160,387478.4
13K270,P.S. 270 Johann DeKalb,159,385056.66
13K266,M.S. K266 - Park Place Community Middle School,144,348730.56
13K351,The Urban Assembly Unison School,139,336621.86
13K575,Bedford Stuyvesant Preparatory High School,123,297874.02
13K313,Satellite West Middle School,119,288187.06
13K596,MS 596 Peace Academy,88,213113.12
13K103,Satellite Three,58,140460.92
14K318,I.S. 318 Eugenio Maria De Hostos,1632,3952279.68
14K474,PROGRESS High School for Professional Careers,1083,2622744.42
14K478,"The High School for Enterprise, Business and Technology",1016,2460487.84
14K071,Juan Morel Campos Secondary School,778,1884113.72
14K132,P.S. 132 The Conselyea School,775,1876848.5
14K250,P.S. 250 George H. Lindsay,769,1862318.06
14K561,Williamsburg Preparatory School,671,1624987.54
14K380,P.S. 380 John Wayne Elementary,664,1608035.36
14K257,P.S. 257 John F. Hylan,660,1598348.4
14K477,School for Legal Studies,641,1552335.34
14K084,P.S. 084 Jose De Diego,616,1491791.84
14K031,P.S. 031 Samuel F. Dupont,596,1443357.04
14K449,"Brooklyn Latin School, The",592,1433670.08
14K558,Williamsburg High School for Architecture and Design,579,1402187.46
14K157,P.S. 157 Benjamin Franklin,558,1351330.92
14K034,P.S. 034 Oliver H. Perry,552,1336800.48
14K586,Lyons Community School,546,1322270.04
14K577,Conselyea Preparatory School,498,1206026.52
14K488,Brooklyn Preparatory High School,489,1184230.86
14K120,P.S. 120 Carlos Tapia,467,1130952.58
14K610,Automotive High School,420,1017130.8
14K110,P.S. 110 The Monitor,375,908152.5
14K059,P.S. 059 William Floyd,374,905730.76
14K196,P.S. 196 Ten Eyck,358,866982.92
14K614,Young Women's Leadership School of Brooklyn,351,850030.74
14K017,P.S. 017 Henry D. Woodworth,334,808861.16
14K414,Brooklyn Arbor Elementary School,334,808861.16
14K454,Green School: An Academy for Environmental Careers,328,794330.72
14K147,P.S. 147 Isaac Remsen,313,758004.62
14K050,J.H.S. 050 John D. Wells,306,741052.44
14K023,P.S. 023 Carter G. Woodson,276,668400.24
14K582,M.S. 582,272,658713.28
14K297,P.S. 297 Abraham Stockton,271,656291.54
14K126,John Ericsson Middle School 126,265,641761.1
14K016,P.S. 016 Leonard Dunkly,249,603013.26
14K685,El Puente Academy for Peace and Justice,225,544891.5
14K018,P.S. 018 Edward Bush,197,477082.78
14K632,Frances Perkins Academy,157,380213.18
14K319,P.S. 319,152,368104.48
14K019,P.S. 019 Roberto Clemente,113,273656.62
14K322,Foundations Academy,110,266391.4
14K330,The Urban Assembly School for the Urban Environment,84,203426.16
15K169,P.S. 169 Sunset Park,1636,3961966.64
15K094,P.S. 094 The Henry Longfellow,1519,3678623.06
15K321,P.S. 321 William Penn,1480,3584175.2
15K230,P.S. 230 Doris L. Cohen,1355,3281457.7
15K667,Sunset Park High School,1309,3170057.66
15K001,P.S. 001 The Bergen,1277,3092561.98
15K088,J.H.S. 088 Peter Rouget,1206,2920618.44
15K131,P.S. 131 Brooklyn,1117,2705083.58
15K051,M.S. 51 William Alexander,1116,2702661.84
15K058,P.S. 058 The Carroll,944,2286122.56
15K010,"Magnet School of Math, Science and Design Technology",921,2230422.54
15K261,P.S. 261 Philip Livingston,817,1978561.58
15K656,Brooklyn High School of the Arts,815,1973718.1
15K029,P.S. 029 John M. Harrigan,803,1944657.22
15K024,P.S. 024,699,1692796.26
15K130,P.S. 130 The Parkside,698,1690374.52
15K448,Brooklyn Secondary School for Collaborative Studies,670,1622565.8
15K146,P.S. 146,664,1608035.36
15K172,P.S. 172 Beacon School of Excellence,612,1482104.88
15K107,P.S. 107 John W. Kimball,578,1399765.72
15K519,Cobble Hill School of American Studies,571,1382813.54
15K154,The Windsor Terrace School,546,1322270.04
15K443,New Voices School of Academic & Creative Arts,531,1285943.94
15K821,Sunset Park Prep,528,1278678.72
15K447,The Math & Science Exploratory School,514,1244774.36
15K295,P.S. 295,509,1232665.66
15K038,P.S. 038 The Pacific,504,1220556.96
15K136,I.S. 136 Charles O. Dewey,487,1179387.38
15K497,School for International Studies,479,1160013.46
15K032,P.S. 032 Samuel Mills Sprole,424,1026817.76
15K015,P.S. 015 Patrick F. Daly,392,949322.08
15K462,Secondary School for Law,389,942056.86
15K039,P.S. 039 Henry Bristow,387,937213.38
15K684,Millennium Brooklyn HS,387,937213.38
15K464,Park Slope Collegiate,379,917839.46
15K124,P.S. 124 Silas B. Dutcher,321,777378.54
15K429,Brooklyn School for Global Studies,275,665978.5
15K463,Secondary School for Journalism,271,656291.54
15K676,Red Hook Neighborhood School,223,540048.02
15K529,West Brooklyn Community High School,215,520674.1
15K442,M.S. 442 Carroll Gardens School for Innovation,193,467395.82
15K423,Brooklyn Frontiers High School,169,409274.06
15K698,South Brooklyn Community High School,163,394743.62
15K592,Khalil Gibran International Academy,97,234908.78
15K118,The Maurice Sendak Community School,82,198582.68
15K516,Sunset Park Avenues Elementary School,74,179208.76
15K530,Metropolitan Corporate Academy High School,31,75073.94
16K455,Boys and Girls High School,940,2276435.6
16K021,P.S. 021 Crispus Attucks,648,1569287.52
16K498,Brooklyn High School for Law and Technology,518,1254461.32
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,504,1220556.96
16K308,P.S. 308 Clara Cardwell,461,1116422.14
16K081,P.S. 081 Thaddeus Stevens,383,927526.42
16K335,P.S. 335 Granville T. Woods,375,908152.5
16K040,P.S. 040 George W. Carver,337,816126.38
16K005,P.S. 005 Dr. Ronald Mcnair,312,755582.88
16K267,"M.S. 267 Math, Science & Technology",291,704726.34
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,288,697461.12
16K243,P.S. 243K- The Weeksville School,286,692617.64
16K026,P.S. 026 Jesse Owens,254,615121.96
16K594,Gotham Professional Arts Academy,242,586061.08
16K028,P.S. 028 The Warren Prep Academy,240,581217.6
16K025,P.S. 025 Eubie Blake School,235,569108.9
16K628,Brooklyn Brownstone School,222,537626.28
16K057,J.H.S. 057 Whitelaw Reid,213,515830.62
16K035,M.S. 035 Stephen Decatur,206,498878.44
16K636,Young Scholars' Academy for Discovery and Exploration,188,455287.12
16K681,Madiba Prep Middle School,165,399587.1
16K393,Frederick Douglass Academy IV Secondary School,155,375369.7
16K534,Upper School @ P.S. 25,151,365682.74
16K627,Brighter Choice Community School,149,360839.26
16K688,The Brooklyn Academy of Global Finance,148,358417.52
16K669,Research and Service High School,140,339043.6
16K584,M.S. 584,128,309982.72
16K385,"School of Business, Finance and Entrepreneurship",113,273656.62
17K600,Clara Barton High School,1525,3693153.5
17K590,Medgar Evers College Preparatory School,1248,3022331.52
17K189,P.S. 189 Lincoln Terrace,1188,2877027.12
17K181,P.S. 181 Brooklyn,1044,2528296.56
17K249,P.S. 249 The Caton,907,2196518.18
17K061,M.S. 061 Dr. Gladstone H. Atwell,779,1886535.46
17K006,P.S. 006,714,1729122.36
17K138,P.S. 138 Brooklyn,708,1714591.92
17K241,P.S. 241 Emma L. Johnston,657,1591083.18
17K394,M.S. K394,631,1528117.94
17K246,M.S. 246 Walt Whitman,603,1460309.22
17K161,P.S. 161 The Crown,537,1300474.38
17K382,Academy for College Preparation and Career Exploration: A College Board School,532,1288365.68
17K543,"Science, Technology and Research Early College High School at Erasmus",532,1288365.68
17K289,P.S. 289 George V. Brower,515,1247196.1
17K375,P.S. 375 Jackie Robinson School,514,1244774.36
17K399,P.S. 399 Stanley Eugene Clark,504,1220556.96
17K092,P.S. 092 Adrian Hegeman,493,1193917.82
17K091,P.S. 091 The Albany Avenue School,483,1169700.42
17K002,Parkside Preparatory Academy,479,1160013.46
17K547,Brooklyn Academy of Science and the Environment,477,1155169.98
17K221,P.S. 221 Toussaint L'Ouverture,450,1089783
17K546,High School for Public Service: Heroes of Tomorrow,439,1063143.86
17K539,High School for Service & Learning at Erasmus,434,1051035.16
17K524,International High School at Prospect Heights,421,1019552.54
17K531,"School for Human Rights, The",416,1007443.84
17K548,Brooklyn School for Music & Theatre,399,966274.26
17K398,P.S. 398 Walter Weaver,383,927526.42
17K537,High School for Youth and Community Development at Erasmus,347,840343.78
17K397,P.S. 397 Foster-Laurie,345,835500.3
17K122,Pathways in Technology Early College High School (P-Tech),330,799174.2
17K533,School for Democracy and Leadership,330,799174.2
17K751,Academy for Health Careers,314,760426.36
17K316,P.S. 316 Elijah Stroud,308,745895.92
17K408,Academy of Hospitality and Tourism,303,733787.22
17K352,Ebbets Field Middle School,298,721678.52
17K705,Brooklyn Arts and Science Elementary School,268,649026.32
17K353,Elijah Stroud Middle School,263,636917.62
17K528,The High School for Global Citizenship,256,619965.44
17K770,P.S. 770 New American Academy,253,612700.22
17K532,New Bridges Elementary,245,593326.3
17K354,The School of Integrated Learning,240,581217.6
17K722,New Heights Middle School,233,564265.42
17K191,P.S. 191 Paul Robeson,223,540048.02
17K012,Dr. Jacqueline Peek-Davis School,211,510987.14
17K340,I.S. 340,208,503721.92
17K568,Brownsville Academy High School,205,496456.7
17K745,Brooklyn Institute for Liberal Arts,170,411695.8
17K167,P.S. 167 The Parkway,168,406852.32
17K334,Middle School for Academic and Social Excellence,168,406852.32
17K484,Ronald Edmonds Learning Center II,148,358417.52
17K489,W.E.B. Dubois Academic High School,131,317247.94
17K587,Middle School for the Arts,93,225221.82
17K544,International Arts Business School,92,222800.08
17K625,Paul Robeson High School,42,101713.08
17K022,P.S. 022,24,58121.76
18K235,P.S. 235 Lenox School,1234,2988427.16
18K115,P.S. 115 Daniel Mucatel School,1172,2838279.28
18K285,I.S. 285 Meyer Levin,914,2213470.36
18K066,P.S. 66,777,1881691.98
18K276,P.S. 276 Louis Marshall,761,1842944.14
18K068,I.S. 068 Isaac Bildersee,734,1777557.16
18K244,P.S. 244 Richard R. Green,704,1704904.96
18K211,I.S. 211 John Wilson,703,1702483.22
18K135,P.S. 135 Sheldon A. Brookner,680,1646783.2
18K114,P.S. 114 Ryder Elementary,626,1516009.24
18K272,P.S. 272 Curtis Estabrook,574,1390078.76
18K219,P.S. 219 Kennedy-King,561,1358596.14
18K233,P.S. 233 Langston Hughes,544,1317426.56
18K279,P.S. 279 Herman Schreiber,532,1288365.68
18K563,It Takes a Village Academy,513,1242352.62
18K208,P.S. 208 Elsa Ebeling,479,1160013.46
18K268,P.S. 268 Emma Lazarus,459,1111578.66
18K633,High School for Medical Professions,441,1067987.34
18K567,Brooklyn Theatre Arts High School,401,971117.74
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,389,942056.86
18K576,Victory Collegiate High School,332,804017.68
18K588,Middle School for Art and Philosophy,330,799174.2
18K617,High School for Innovation in Advertising and Media,313,758004.62
18K598,Middle School of Marketing and Legal Studies,312,755582.88
18K642,Urban Action Academy,312,755582.88
18K629,Cultural Academy for the Arts and Sciences,309,748317.66
18K589,Arts & Media Preparatory Academy,298,721678.52
18K566,Brooklyn Generation School,297,719256.78
18K569,Kurt Hahn Expeditionary Learning School,288,697461.12
18K637,Academy for Conservation and the Environment,280,678087.2
18K581,East Flatbush Community Research School,241,583639.34
18K635,Olympus Academy,192,464974.08
18K673,East Brooklyn Community High School,187,452865.38
18K578,Brooklyn Bridge Academy,179,433491.46
19K615,Transit Tech Career and Technical Education High School,1167,2826170.58
19K007,P.S. 007 Abraham Lincoln,1073,2598527.02
19K214,P.S. 214 Michael Friedsam,991,2399944.34
19K108,P.S. 108 Sal Abbracciamento,891,2157770.34
19K159,P.S. 159 Isaac Pitkin,854,2068165.96
19K171,I.S. 171 Abraham Lincoln,780,1888957.2
19K149,P.S. 149 Danny Kaye,739,1789665.86
19K292,J.H.S. 292 Margaret S. Douglas,727,1760604.98
19K345,P.S. 345 Patrolman Robert Bolden,689,1668578.86
19K202,P.S. 202 Ernest S. Jenkyns,683,1654048.42
19K306,P.S. 306 Ethan Allen,672,1627409.28
19K346,P.S. 346 Abe Stark,672,1627409.28
19K065,P.S. 065,644,1559600.56
19K224,P.S. 224 Hale A. Woodruff,595,1440935.3
19K290,P.S. 290 Juan Morel Campos,574,1390078.76
19K677,East New York Elementary School of Excellence,556,1346487.44
19K158,P.S. 158 Warwick,552,1336800.48
19K302,J.H.S. 302 Rafael Cordero,546,1322270.04
19K404,Academy for Young Writers,502,1215713.48
19K013,P.S. 013 Roberto Clemente,494,1196339.56
19K218,J.H.S. 218 James P. Sinnott,488,1181809.12
19K409,East New York Family Academy,468,1133374.32
19K660,W. H. Maxwell Career and Technical Education High School,463,1121265.62
19K089,P.S. 089 Cypress Hills,446,1080096.04
19K213,P.S. 213 New Lots,440,1065565.6
19K618,Academy of Innovative Technology,440,1065565.6
19K507,Performing Arts and Technology High School,428,1036504.72
19K328,P.S. 328 Phyllis Wheatley,385,932369.9
19K659,Cypress Hills Collegiate Preparatory School,370,896043.8
19K364,I.S. 364 Gateway,369,893622.06
19K639,Brooklyn Lab School,364,881513.36
19K504,High School for Civil Rights,349,845187.26
19K273,P.S. 273 Wortman,340,823391.6
19K583,Multicultural High School,322,779800.28
19K510,World Academy for Total Community Health High School,309,748317.66
19K683,"The School for Classics: An Academy of Thinkers, Writers and Peformers",309,748317.66
19K502,FDNY High School for Fire and Life Safety,296,716835.04
19K452,Frederick Douglass Academy VIII Middle School,294,711991.56
19K678,East New York Middle School of Excellence,242,586061.08
19K166,J.H.S. 166 George Gershwin,234,566687.16
19K174,P.S. 174 Dumont,222,537626.28
19K190,P.S. 190 Sheffield,201,486769.74
19K325,The Fresh Creek School,198,479504.52
19K557,Brooklyn Gardens Elementary School,175,423804.5
19K422,Spring Creek Community School,169,409274.06
19K311,Essence School,149,360839.26
19K662,Liberty Avenue Middle School,140,339043.6
19K654,Van Siclen Community Middle School,118,285765.32
19K661,Vista Academy,114,276078.36
19K663,School of the Future Brooklyn,76,184052.24
19K260,P.S. 260 Breuckelen,28,67808.72
20K490,Fort Hamilton High School,4317,10454651.58
20K445,New Utrecht High School,3362,8141889.88
20K505,Franklin Delano Roosevelt High School,3130,7580046.2
20K105,P.S. 105 The Blythebourne,1770,4286479.8
20K201,J.H.S. 201 The Dyker Heights,1437,3480040.38
20K259,J.H.S. 259 William Mckinley,1427,3455822.98
20K176,P.S. 176 Ovington,1414,3424340.36
20K220,J.H.S. 220 John J. Pershing,1400,3390436
20K102,P.S. 102 The Bayview,1352,3274192.48
20K200,P.S. 200 Benson School,1335,3233022.9
20K227,J.H.S. 227 Edward B. Shallow,1314,3182166.36
20K485,High School of Telecommunication Arts and Technology,1313,3179744.62
20K062,J.H.S. 062 Ditmas,1297,3140996.78
20K160,P.S. 160 William T. Sampson,1254,3036861.96
20K104,P.S./I.S. 104 The Fort Hamilton School,1181,2860074.94
20K204,P.S. 204 Vince Lombardi,1166,2823748.84
20K180,The SEEALL Academy,1153,2792266.22
20K229,P.S. 229 Dyker,1149,2782579.26
20K205,P.S. 205 Clarion,1098,2659070.52
20K503,PS 503: The School of Discovery,1029,2491970.46
20K179,P.S. 179 Kensington,993,2404787.82
20K187,The Christa McAuliffe School\I.S. 187,970,2349087.8
20K186,P.S. 186 Dr. Irving A Gladstone,958,2320026.92
20K223,J.H.S. 223 The Montauk,942,2281279.08
20K170,Ralph A. Fabrizio School,936,2266748.64
20K069,P.S. 69 Vincent D. Grippo School,867,2099648.58
20K506,P.S. 506: The School of Journalism & Technology,807,1954344.18
20K247,P.S. 247 Brooklyn,796,1927705.04
20K185,P.S. 185 Walter Kassenbrock,723,1750918.02
20K163,P.S. 163 Bath Beach,625,1513587.5
20K048,P.S. 048 Mapleton,623,1508744.02
20K192,P.S. 192 - The Magnet School for Math and Science Inquiry,617,1494213.58
20K164,P.S. 164 Caesar Rodney,543,1315004.82
20K112,P.S. 112 Lefferts Park,530,1283522.2
20K127,P.S. 127 Mckinley Park,518,1254461.32
20K030,PS/IS 30 Mary White Ovington,510,1235087.4
20K748,P.S. 748 Brooklyn School for Global Scholars,496,1201183.04
20K609,Urban Assembly School for Criminal Justice,485,1174543.9
20K310,P.S. 310,389,942056.86
20K686,Brooklyn School of Inquiry,378,915417.72
20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,362,876669.88
20K682,The Academy of Talented Scholars,344,833078.56
20K971,"School of Math, Science, and Healthy Living",288,697461.12
21K525,Edward R. Murrow High School,4021,9737816.54
21K410,Abraham Lincoln High School,2313,5601484.62
21K540,John Dewey High School,1937,4690910.38
21K098,I.S. 98 Bay Academy,1367,3310518.58
21K239,Mark Twain I.S. 239 for the Gifted & Talented,1312,3177322.88
21K281,I.S. 281 Joseph B Cavallaro,1177,2850387.98
21K228,I.S. 228 David A. Boody,1048,2537983.52
21K226,P.S. 226 Alfred De B.Mason,995,2409631.3
21K095,P.S. 095 The Gravesend,964,2334557.36
21K215,P.S. 215 Morris H. Weiss,959,2322448.66
21K177,P.S. 177 The Marlboro,952,2305496.48
21K225,P.S. K225 - The Eileen E. Zaglin,907,2196518.18
21K690,Brooklyn Studio Secondary School,902,2184409.48
21K101,P.S. 101 The Verrazano,882,2135974.68
21K099,P.S. 099 Isaac Asimov,851,2060900.74
21K097,P.S. 97 The Highlawn,824,1995513.76
21K253,P.S. 253,806,1951922.44
21K100,P.S. 100 The Coney Island School,724,1753339.76
21K096,I.S. 096 Seth Low,711,1721857.14
21K209,P.S. 209 Margaret Mead,696,1685531.04
21K212,P.S. 212 Lady Deborah Moody,678,1641939.72
21K620,William E. Grady Career and Technical Education High School,636,1540226.64
21K216,P.S. 216 Arturo Toscanini,623,1508744.02
21K090,P.S. 90 Edna Cohen School,620,1501478.8
21K303,I.S. 303 Herbert S. Eisenberg,566,1370704.84
21K468,Kingsborough Early College School,551,1334378.74
21K238,P.S. 238 Anne Sullivan,550,1331957
21K153,P.S. 153 Homecrest,546,1322270.04
21K188,P.S. 188 Michael E. Berdy,540,1307739.6
21K344,Rachel Carson High School for Coastal Studies,517,1252039.58
21K199,P.S. 199 Frederick Wachtel,481,1164856.94
21K288,P.S. 288 The Shirley Tanyhill,451,1092204.74
21K329,P.S. 329 Surfside,443,1072830.82
